id,codalu,"Código
Curso","N° Total de
Repeticiones"
1,20100213K,XP100,1
1,20152115J,FI403,2
1,20152115J,MA143,2
1,20167013C,FS145,2
1,20080078F,SA216,5
1,20121278D,MA143,2
1,20162256E,SA332,2
1,20152683H,AA226,2
1,20151203B,FS145,2
1,20151203B,HH221,2
1,20174145I,AA223,2
1,20152661D,FS145,2
1,20152661D,HH221,2
1,20170388D,AA223,2
1,20120251E,EE342,2
1,20120251E,SA216,2
1,20112175A,EC717,2
1,20140392C,AA233,2
1,20140392C,EC115,2
1,20174144B,AA223,2
1,20172229K,AA222,2
1,20110203H,SA216,2
1,20110203H,SA633,2
1,20160531I,AA231,2
1,20160752E,AA231,2
1,20150312B,SA413,2
1,20154166K,FS145,2
1,20150288D,AA217,2
1,20150288D,AA226,2
1,20172706C,AA214,2
1,20132555D,XA100,1
1,20132555D,XA100,1
1,20100104G,SA216,2
1,20161374D,DS111,2
1,20162620I,AA231,2
1,20162620I,AA234,2
1,20162202B,AA226,2
1,20172730A,AA214,2
1,19972213H,SA745,5
1,20102124E,SA132,2
1,20102124E,SA446,2
1,20142747C,FI403,2
1,20142747C,SA323,2
1,20120244I,SA324,2
1,20161379F,AA224,2
1,20161379F,AA227,2
1,20161379F,AA232,2
1,20173006E,AA212,2
1,20173006E,AA213,2
1,20173006E,AS101,2
1,20120350C,DS111,2
1,20120350C,HH221,2
1,20102673I,EP305,2
1,20102673I,SA332,2
1,20152216K,HH221,2
1,20152216K,SA332,2
1,20153503C,AA226,2
1,20021284B,EC311,3
1,20042163J,SA467,2
1,20042163J,SA923,2
1,20140487D,HH223,2
1,20140487D,SA333,2
1,20151297G,AA226,2
1,20151297G,AS141,2
1,20120248D,EC717,2
1,20120248D,SA216,2
1,20170604I,AA217,2
1,20140387J,EC717,2
1,20164150J,SA333,2
1,20110230E,XP100,1
1,20110230E,XP100,1
1,20132109D,AS152,2
1,20170551B,AA212,2
1,20170551B,AS121,2
1,20170551B,SA301,2
1,20101208K,EC717,2
1,20032199A,FI403,2
