enterga,codcur,codalu,nveces,codperiodo,codcar
1,AA223,20171519E,2,2019I,S2
1,EE344,20041272J,2,2019I,S2
1,AS141,20101250G,2,2019I,S2
1,AA224,20161430A,2,2019I,S2
1,BMA01,20180627A,2,2019I,S2
1,MA143,20141421G,2,2019I,S2
1,AHD93,20142665G,2,2019I,S2
1,BO101,20110200I,2,2019I,S2
1,FS145,20141461I,2,2019I,S2
1,DS111,20121371D,2,2019I,S2
1,AHD93,20090370A,2,2019I,S2
1,AA223,20162702E,2,2019I,S2
1,AA223,20172758C,2,2019I,S2
1,BEF01,20180578K,2,2019I,S2
1,GA101,20144126F,2,2019I,S2
1,AA232,20160466B,2,2019I,S2
1,BMA01,20184161G,2,2019I,S2
1,BMA03,20180466H,2,2019I,S2
1,EP305,20150344A,2,2019I,S2
1,AA233,20061311K,2,2019I,S2
1,GA141,20142099A,2,2019I,S2
1,AA232,20140344I,2,2019I,S2
1,AA223,20171297B,2,2019I,S2
1,EP305,20102673I,2,2019I,S2
1,AA231,20162715J,2,2019I,S2
1,AA223,20171566C,2,2019I,S2
1,HH221,20110280B,2,2019I,S2
1,HH221,20112122E,2,2019I,S2
1,BMA03,20180189D,2,2019I,S3
1,DS111,20172241K,2,2019I,S3
1,AS152,20175014E,2,2019I,S3
1,HH501,20175503F,2,2019I,S3
1,BMA01,20183008K,2,2019I,S3
1,AA223,20187018K,2,2019I,S3
1,AA223,20170044C,2,2019I,S3
1,HH221,20160630G,2,2019I,S3
1,AA223,20171448K,2,2019I,S3
1,AA223,20171288C,2,2019I,S3
1,FS145,20160222F,2,2019I,S3
1,PI111,20160629I,2,2019I,S3
1,AS152,20140288A,2,2019I,S3
1,DS111,20120350C,2,2019I,S3
1,BO131,20151071I,2,2019I,S3
1,AS152,20140273D,2,2019I,S3
1,AA223,20170433J,2,2019I,S3
1,AS152,20142016I,2,2019I,S3
1,AA226,20151297G,2,2019I,S3
1,AA223,20171437I,2,2019I,S3
1,BMA01,20180420H,2,2019I,S3
1,FI403,20152640G,2,2019I,S3
1,GA141,20150271D,2,2019I,S3
1,AA223,20170428F,2,2019I,S3
1,GA158,20131291C,2,2019I,S3
1,GE001,20160126G,2,2019I,C1
1,CB121,20131061H,2,2019I,C1
1,EC211,20092083J,2,2019I,C1
1,HH113,20131080B,2,2019I,C1
1,EC114,20161049F,2,2019I,C1
1,CB412,20161041E,2,2019I,C1
1,GE001,20164513E,2,2019I,C1
1,EC514,20132014C,2,2019I,C1
1,EC611,20134508C,2,2019I,C1
1,GE831,19970442J,2,2019I,C1
1,EC513,20112031J,2,2019I,C1
1,CB412,19970453A,2,2019I,C1
1,CO721,20131140E,2,2019I,C1
1,CB212,20172040E,2,2019I,C1
1,CB121,20175028F,2,2019I,C1
1,TV761,19962674B,2,2019I,C1
1,HH224,20141023A,2,2019I,C1
