id,"Código
Curso",codalu,"N° Total de
Repeticiones",cosperidod
1,HH221,20110280B,2,2018II
1,SA445,20061304D,2,2018II
1,SA445,20131199J,2,2018II
1,AS101,20101263A,2,2018II
1,SA654,20101263A,2,2018II
1,SA216,20132654B,2,2018II
1,AA223,20172183K,2,2018II
1,AA232,20140457H,2,2018II
1,AA234,20140457H,2,2018II
1,BO112,20140457H,2,2018II
1,HH113,20111171B,2,2018II
1,HH224,20111171B,2,2018II
1,SA115,20111171B,2,2018II
1,MA143,19870583K,2,2018II
1,HH113,20145529G,2,2018II
1,AA232,20121233K,2,2018II
1,FI403,20121233K,2,2018II
1,SA216,20070370F,2,2018II
1,AA231,20141271E,2,2018II
1,AA234,20141271E,2,2018II
1,SA445,20081272K,2,2018II
1,FI403,20144568I,2,2018II
1,HH501,20121281E,2,2018II
1,CO821,20131156I,2,2018II
1,EC323,20131156I,2,2018II
1,EC211,20092083J,2,2018II
1,EC514,20132014C,2,2018II
1,CB213,20160054F,2,2018II
1,SA253,20130092G,2,2018II
1,EC323,20132557G,2,2018II
1,CB212,19942235C,2,2018II
1,TV113,20163003C,2,2018II
1,EC513,20112031J,2,2018II
1,EC211,20090249H,2,2018II
1,ES731,20090249H,2,2018II
1,GE001,20151113C,2,2018II
1,TV561,20151113C,2,2018II
1,CO923,20130140A,2,2018II
1,HH333,20130140A,2,2018II
1,HH224,20131140E,2,2018II
1,CB115,20171152D,2,2018II
1,EP111,20170012D,2,2018II
1,FI204,20172040E,2,2018II
1,EC521,20040349I,2,2018II
1,CB121,19960390G,8,2018II
1,ES531,19960390G,2,2018II
1,CB311,20162037A,2,2018II
1,TV113,20162037A,2,2018II
1,CO822,20092086I,3,2018II
1,FI204,20162529A,2,2018II
1,EC521,20094140K,2,2018II
1,HH113,20094140K,2,2018II
1,CB115,20172515C,2,2018II
1,CB412,20144005D,2,2018II
1,CB311,20160130D,2,2018II
1,CO922,20070334J,2,2018II
1,EC323,20070334J,3,2018II
1,ES831,20070334J,2,2018II
1,HH333,20070334J,5,2018II
1,SA253,20070334J,3,2018II
1,TV815,20070334J,4,2018II
1,CB212,20160042H,2,2018II
1,EP111,20160042H,2,2018II
1,FI204,20160042H,2,2018II
1,CB411,20121116D,2,2018II
1,GE001,20141068E,2,2018II
1,ES531,20021037E,2,2018II
1,CO822,20050295I,2,2018II
1,CB411,20120081B,2,2018II
1,CB115,19942181K,2,2018II
1,GE001,19942181K,2,2018II
1,TV113,20122565G,2,2018II
1,HH224,20131151G,2,2018II
1,TV114,20131151G,2,2018II
1,CB311,20161025J,2,2018II
1,EC111,20161025J,2,2018II
1,GE001,20160159B,2,2018II
1,MA611,20080208G,3,2018II
1,EC111,20154112H,2,2018II
1,HH223,20132549D,2,2018II
1,CO722,19970037H,2,2018II
1,CB213,20160065H,2,2018II
1,EC513,20090144A,2,2018II
1,EP111,20161141J,2,2018II
1,CB412,20090132C,2,2018II
1,EC612,20090132C,2,2018II
1,TV113,20090132C,4,2018II
1,CB211,20150062F,2,2018II
1,FI204,20150062F,2,2018II
1,EC114,20131117C,2,2018II
1,EC211,20144078A,2,2018II
1,EC513,20144078A,2,2018II
1,HH224,20144078A,2,2018II
1,EC521,19954516B,2,2018II
1,HH315,19954516B,2,2018II
1,SA253,19992113I,7,2018II
1,TV761,19992113I,2,2018II
1,EC114,20162050H,2,2018II
1,HH223,20141124B,2,2018II
1,HH224,20140152B,2,2018II
1,ES832,20112522C,2,2018II
1,ES831,20110074C,2,2018II
1,SA253,20110074C,2,2018II
1,TV761,20110074C,2,2018II
1,HH413,20072516H,2,2018II
1,CB213,20152026G,2,2018II
1,CO925,20110184C,2,2018II
1,EC513,20141005C,2,2018II
1,ES731,20141005C,2,2018II
1,CB213,20142205F,2,2018II
1,GE001,20142205F,2,2018II
1,HH223,20142205F,2,2018II
1,CB115,20110083B,2,2018II
1,CB212,20110083B,2,2018II
1,EC211,20152076D,2,2018II
1,EC211,20100205H,2,2018II
1,CB411,19950376A,2,2018II
1,MA195,19950376A,9,2018II
1,EC935,20052539B,2,2018II
1,GE831,20142029C,2,2018II
1,CB412,20152505B,2,2018II
1,HH223,20042122A,8,2018II
1,TV513,20042122A,2,2018II
1,CO622,20131040K,2,2018II
1,GE001,20131040K,2,2018II
1,MA195,20131040K,2,2018II
1,EP111,20170149J,2,2018II
1,EC513,20120152G,2,2018II
1,EC515,20060291F,2,2018II
1,EP111,20151072E,2,2018II
1,TV113,20160043D,2,2018II
1,TV114,20130175J,2,2018II
1,ES731,20031268J,2,2018II
1,HH113,20112055F,2,2018II
1,CB412,20160088H,2,2018II
1,HH113,20145511K,2,2018II
1,TV661,20145511K,2,2018II
1,EC111,20150092B,2,2018II
1,SA253,20111067K,2,2018II
1,GE001,20152528B,2,2018II
1,SA253,20021147E,2,2018II
1,CB412,20121013K,3,2018II
1,ES831,19780200E,2,2018II
1,TV113,20160017C,2,2018II
1,CO722,19940368F,2,2018II
1,CO920,20120091H,2,2018II
1,CO927,20120091H,2,2018II
